movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Adventure,Angus MacLane
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Animation,Andrew Stanton
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Animation,Angus MacLane
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Comedy,Andrew Stanton
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Comedy,Angus MacLane
Toy Story 3,234487471.10833913,1505274033.1021113,6.41942201,2010-06-18,103.0,Adventure,Lee Unkrich
Toy Story 3,234487471.10833913,1505274033.1021113,6.41942201,2010-06-18,103.0,Animation,Lee Unkrich
Toy Story 3,234487471.10833913,1505274033.1021113,6.41942201,2010-06-18,103.0,Comedy,Lee Unkrich
Iron Man 3,219488575.14476922,1563180670.1039593,7.121922720000001,2013-05-03,130.0,Action,Shane Black
Iron Man 3,219488575.14476922,1563180670.1039593,7.121922720000001,2013-05-03,130.0,Adventure,Shane Black
Iron Man 3,219488575.14476922,1563180670.1039593,7.121922720000001,2013-05-03,130.0,Sci-Fi,Shane Black
Guardians of the Galaxy Vol 2,208597421.67101827,1097357331.684228,5.260646669999999,2017-05-05,,,
Spider-Man 2,270679724.72207516,1310949485.5576231,4.843175775000001,2004-06-30,,,
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Adventure,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Adventure,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Family,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Family,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Fantasy,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,108.0,Fantasy,Tim Burton
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,48.0,Documentary,Giuseppe Malpasso
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,48.0,Documentary,Fernando J. Scarpa
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,99.0,Fantasy,James Fotopoulos
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,99.0,Fantasy,James Fotopoulos
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,99.0,Musical,James Fotopoulos
Alice in Wonderland,234487471.10833913,1359654755.2855232,5.798411100000001,2010-03-05,99.0,Musical,James Fotopoulos
Skyfall,222703554.97094873,1352798556.227541,6.07443629,2012-11-08,143.0,Action,Sam Mendes
Skyfall,222703554.97094873,1352798556.227541,6.07443629,2012-11-08,143.0,Adventure,Sam Mendes
Skyfall,222703554.97094873,1352798556.227541,6.07443629,2012-11-08,143.0,Thriller,Sam Mendes
Monsters University,219488575.14476922,891207742.8637302,4.06038329,2013-06-21,104.0,Adventure,Dan Scanlon
Monsters University,219488575.14476922,891207742.8637302,4.06038329,2013-06-21,104.0,Animation,Dan Scanlon
